,What else do you think the Lagos State Government should do to prevent the spread of the Virus?
1,Continuous re-orientation 
2,The Government of Lagos state should provide parliative measure for the citizens who are not civil servants. 
3,"They should provide a well designated unit all round the state where people will come and test if positive or negative to the corona virus,the thermal temperature checks isnt enough.Please am scared."
4,The should sanitize all the public places with diseffectant and place sanitizer in the public places...
5,They should enforce the stay at home policy and provide free foods for the masses
6,Total lock down
7,Strictly enforcing the total lock down for a period of time
8,Provision and distribution of face masks and sanitizers at affordable price. Provision of hand sanitizers at strategic points..
9,The state govt. should provide some basic items that would make people stay at home to work.
10,People locked in thier house should have food to eat else hunger will force them all out
11,The state government should create more test centres throughout to state so that people can have access to more test kits. And also shut down the whole civil service.
12,Create more awareness and send people out to do house to house campaign and share facemasks and sanitizer because some people cannot afford it. Itesiwaju Ipinle Eko Like Wa Logun
13,Fumigation
14,Free test for virus
15,Continue to educate the public and reassure them with data to prove improvements 
17,"Lagos State govt. Should make provision for we that are self employed, bcoz no enough money to Carter for our family in this stay at home order"
18,Total lock down everywhere...restrict movement...lock down market areas...and at least buy food stuffs to all residents...
19,We need more prayers for our land. God will answer our prayers in Jesus name amen
20,Encourage the low earner to get basic need
21,The should be serous with the lockdown cos some people are still going outside 
22,"Stop yello buses, test people's temperature before boarding the long buses. Use local languages to spread the awareness in local markets because most of the vulnerable and less educated people are in the local food markets. "
23,"They should stop anybody coming from abroad into lagos state for now, and for total lockdown government should remember the poor that depend on day by day income ,if they can support every lagosian with any amount to buy food at home for the period of lock down it will be the best.Eko oni baje."
24,Deploy more testing centers
25,"No lights no money and you said people should stay home, give us money and light"
26,Mass treatment during lockdown
27,Appointment of military men to pursue every individuals to their home
28,Total lockdown and 24hrs curfew
29,Mandate all lagosians to stay at home to avoid the spread and keep safe for atleast 3 weeks.
30,Pay certain amount into every acount base on BVN
31,"Provide food,so people will have no reason for going out"
32,Sanitation of all the local government areas of Lagos state
33,Make test kits available and accessible at every government and private hospitals.
34,"The government is doing good alepready, the problem is the hardship the populace are goiņg through. There is need to alivate this house to house free supplies, using the LAGS Residence Registration number. This is the time to show how relevant the registration was."
35,"With the type of geographical settings we have, to encourage lockdown totally, government should do something in return to poeple like replenishing individuals purse. Otherwise if some people are not ok financially, they will need to go out in search  for money."
36,Inform citizens on the covid-19 virus and how to prevent getting infected and spreading the virus 
37,It should locked down the border and enforce the staying at home shii.
38,Fumigation of the entire state
39,Give palliative that will encourage lagosian to stay at home to prevent spread of the Viruss 
40,They should provide food stuff and give out money to the people that have bank verification number
41,Lagos state should government should provide free sanitizer and Nose mark for all is Residences..And also they should send Healthcare ministry or workers around neighbourhood to Test each peoples house to house..thanks 
42,"Public enlightening, due to ignorance of our people about religion"
43,They need do more awareness and help those that are in local area. 
44,Make provision for the citizen so they can abide to the quaratine
45,"It by giving the necessary care/need to the citizens of the state, and to allot military at different landmark, such as: town bus stop and the likes."
46,Make adequate provision for the citizen especially those that could not afford food in other not to make them go out and been infected with the virus
47,General testing and vaccination
